sim time,cam x,gazebo x
0.923,-9,0.022908912072878998
1.048,-12,0.03891821901076301
1.067,-20,0.04455260533487166
1.13,-24,0.05858042586582636
1.133,-28,0.06471564022651875
1.255,-34,0.10926730767025016
1.335,-65,0.1587672595109446
1.428,-82,0.20914261425197833
2.008,3,-0.00575
2.078,3,-0.005987746375804786
2.158,3,-0.008150502372408887
2.277,5,-0.016204849086024833
2.287,7,-0.017205558707985475
2.402,11,-0.03939499499760694
2.4699999999999998,21,-0.05457991902993481
2.568,31,-0.09972893961730175
2.658,52,-0.14372495304182997
2.758,78,-0.2033038460972709
3.4050000000000002,-7,0.01393799323667394
3.414,-7,0.01421054122980447
