sim time,cam x,gazebo x,raw image received
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.072,,0.0,
0.085,,0.0,
0.085,,0.0,
0.085,,0.0,
0.085,,0.0,
0.092,,0.0,
0.092,,0.0,
0.092,,0.0,
0.095,,0.0,
0.095,,0.0,
0.095,,0.0,
0.101,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.112,,0.0,
0.132,,0.0,
0.132,,-2.68700177885787e-07,
0.132,,-5.647147600300479e-07,
0.132,,-8.627041190233917e-07,
0.132,,-1.1643588134589445e-06,
0.132,,-1.4762716192225406e-06,
0.132,,-1.7959787088252681e-06,
0.132,,-2.1233533696115917e-06,
0.132,,-2.4585299079745995e-06,
0.132,,-2.801655141730771e-06,
0.132,,-3.152865050842489e-06,
0.132,,-3.5122869970107463e-06,
0.132,,-3.880043378038379e-06,
0.132,,-4.256254294104445e-06,
0.132,,-4.641039324804295e-06,
0.132,,-5.034518695408101e-06,
0.132,,-5.43681649261558e-06,
0.132,,-5.848051897083157e-06,
0.132,,-6.268395338942651e-06,
0.139,,-6.697888776583293e-06,
0.147,,-7.136706301557567e-06,
0.153,,-7.561051708564165e-06,
0.153,,-8.02394928220635e-06,
0.153,,-8.501684739873264e-06,
0.153,,-8.949858960043968e-06,
0.153,,-9.428213191669972e-06,
0.153,,-9.927535013318065e-06,
0.153,,-1.0438914125220041e-05,
0.153,,-1.0960328705558981e-05,
0.153,,-1.1491933951135312e-05,
0.153,,-1.203388796635711e-05,
0.153,,-1.2586354641371399e-05,
0.153,,-1.3149898858155026e-05,
0.153,,-1.3724249745311774e-05,
0.153,,-1.430953762921422e-05,
0.153,,-1.4905997838934183e-05,
0.153,,-1.5513657217722137e-05,
0.153,,-1.6132660499688184e-05,
0.153,,-1.6763330713176678e-05,
0.153,,-1.740582448722092e-05,
0.153,,-1.8060308227477026e-05,
0.153,,-1.8726956981673105e-05,
0.153,,-1.9405953638098886e-05,
0.153,,-2.0097488272291574e-05,
0.153,,-2.0801757617103228e-05,
0.153,,-2.1518964635390964e-05,
0.153,,-2.224931817803131e-05,
0.153,,-2.299339453034749e-05,
0.154,,-2.3766213959904372e-05,
0.155,,-2.4509238592329452e-05,
0.159,,-2.5326896081381237e-05,
0.159,,-2.615631504291436e-05,
0.159,,-2.6997139193450202e-05,
0.159,,-2.7858496319616546e-05,
0.172,,-2.8740776779306966e-05,
0.172,,-2.964441204618728e-05,
0.172,,-3.05697927700183e-05,
0.172,,-3.1517282980923745e-05,
0.172,,-3.2487229613697775e-05,
0.172,,-3.34799694256085e-05,
0.172,,-3.449583399669626e-05,
0.172,,-3.553515333915466e-05,
0.172,,-3.659825850395298e-05,
0.172,,-3.768548346778846e-05,
0.172,,-3.879716650534546e-05,
0.172,,-3.9933651194497026e-05,
0.172,,-4.1095287160442945e-05,
0.172,,-4.222553212896093e-05,
0.175,,-4.346011394520588e-05,
0.175,,-4.463442610257569e-05,
0.176,,-4.587619118162489e-05,
0.186,,-4.713471891002389e-05,
0.186,,-4.841481694203282e-05,
0.192,,-4.971644502928741e-05,
0.192,,-5.10399703229681e-05,
0.192,,-5.238585239847504e-05,
0.192,,-5.375443431744384e-05,
0.192,,-5.514607213404643e-05,
0.192,,-5.656136189223216e-05,
0.192,,-5.8000694509177734e-05,
0.192,,-5.9464475225239164e-05,
0.192,,-6.095312236600112e-05,
0.192,,-6.246706649977208e-05,
0.192,,-6.400674976478392e-05,
0.192,,-6.557262533778511e-05,
0.192,,-6.716526935308602e-05,
0.192,,-6.878492714415398e-05,
0.196,,-7.043219971295576e-05,
0.196,,-7.210758126610292e-05,
0.196,,-7.377938752220274e-05,
0.196,,-7.556444519714268e-05,
0.197,,-7.725682590206306e-05,
0.198,,-7.904921263624673e-05,
0.199,,-8.086826034772134e-05,
0.201,,-8.271889336850803e-05,
0.201,,-8.460134899589768e-05,
0.202,,-8.651620213530876e-05,
0.203,,-8.846411475987009e-05,
0.203,,-9.0445601767506e-05,
0.208,,-9.246124907142796e-05,
0.208,,-9.451183549644199e-05,
0.208,,-9.659794189016643e-05,
0.208,,-9.872016739485997e-05,
0.209,,-0.00010087912819796138,
0.209,,-0.00010307545668776894,
0.219,,-0.0001053098007887479,
0.22,,-0.00010758282344700976,
0.221,,-0.00010989520224130327,
0.221,,-0.00011224762909892052,
0.221,,-0.00011464081009938526,
0.221,,-0.0001170754653516923,
0.221,,-0.00011955232893327817,
0.221,,-0.00012207550198665472,
0.221,,-0.0001246180564781608,
0.221,,-0.00012726677497668792,
0.221,,-0.00012995728870151632,
0.224,,-0.0001326885648958126,
0.224,,-0.00013547232180435655,
0.224,,-0.00013830977223330818,
0.224,,-0.00014120212909682497,
0.224,,-0.00014415051757167352,
0.224,,-0.00014712239489784263,
0.224,,-0.00015017333213634154,
0.224,,-0.00015327733988073315,
0.224,,-0.0001564341935460384,
0.243,,-0.00015964509987397086,
0.243,,-0.00016290556789421942,
0.243,,-0.00016621633467963894,
0.243,,-0.00016957571662085927,
0.243,,-0.00017298290945980997,
0.243,,-0.00017643741990066845,
0.243,,-0.0001799390033768203,
0.243,,-0.00018348732089777032,
0.243,,-0.00018708258724061113,
0.243,,-0.000190695264347287,
0.243,,-0.000194448691234377,
0.243,,-0.00019816420965588182,
0.243,,-0.00020201197692474435,
0.247,,-0.00020592531932234792,
0.247,,-0.0002099036552302565,
0.247,,-0.00021394528690578957,
0.247,,-0.00021804983330079702,
0.247,,-0.0002222160290238366,
0.247,,-0.00022644333281565711,
0.247,,-0.00023073150599366764,
0.247,,-0.0002350805936872323,
0.254,,-0.00023949006522629062,
0.254,,-0.00024396044714685209,
0.254,,-0.0002484586268041712,
0.254,,-0.00025312721980518823,
0.254,,-0.0002577825328473275,
0.254,,-0.0002625766962133303,
0.258,,-0.0002674230814487865,
0.259,,-0.0002723084629224557,
0.26,,-0.0002772200143369443,
0.261,,-0.00028215147676007794,
0.262,,-0.00028710505580609305,
0.263,,-0.00029208186595386864,
0.264,,-0.00029708305522675905,
0.265,,-0.00030211043746306693,
0.266,,-0.00030716532230012645,
0.267,,-0.000312249163404091,
0.268,,-0.0003173634383024691,
0.269,,-0.0003225096461253673,
0.27,,-0.00032768930588366766,
0.27,,-0.00033290395514705797,
0.271,,,1
0.272,,-0.0003381551490447702,
0.272,,-0.00034344445953093895,
0.28,,-0.00034877347485172714,
0.28,,-0.00035410027488983414,
0.28,,-0.00035942833419257126,
0.28,,-0.0003647105508026734,
0.28,,-0.00037012152810728913,
0.28,,-0.0003754434478006135,
0.28,,-0.00038079586385354844,
0.28,,-0.00038616149083833525,
0.28,,-0.0003915409220277859,
0.286,,-0.00039693734733172196,
0.286,,-0.0004023488964923334,
0.286,,-0.00040777704808999836,
0.286,,-0.00041322331126981195,
0.288,,-0.0004186892473376572,
0.288,,-0.00042417645567595016,
0.289,,-0.00042968656409196637,
0.295,,-0.00043522095600905214,
0.295,,-0.00044078171263055874,
0.295,,-0.00044637026671309207,
0.295,,-0.0004519882801827232,
0.295,,-0.00045763743049278085,
0.295,,-0.0004633194100278833,
0.302,,-0.00046903592566047007,
0.315,,-0.00047478869852135265,
0.315,,-0.00048057946389676244,
0.315,,-0.0004864099712318526,
0.315,,-0.0004922819842239848,
0.315,,-0.0004981972809918532,
0.315,,-0.0005041576543087534,
0.315,,-0.0005101649118902595,
0.315,,-0.0005161538962377994,
0.315,,-0.0005220960125005828,
0.315,,-0.0005280599772605988,
0.315,,-0.0005340984711155573,
0.315,,-0.0005401992451695773,
0.315,,-0.0005463643773127781,
0.315,,-0.0005525956262190976,
0.315,,-0.0005588948377431781,
0.315,,-0.0005652639073903912,
0.315,,-0.0005717047670608127,
0.315,,-0.0005782193776163102,
0.315,,-0.0005847216168685671,
0.315,,-0.000591320681614867,
0.315,,-0.0005979711140625573,
0.315,,-0.0006046969395283885,
0.315,,-0.0006115002702103564,
0.315,,-0.0006183832591244911,
0.315,,-0.0006253480676412597,
0.315,,-0.0006323968684229349,
0.325,,-0.0006395318482638807,
0.325,,-0.0006467552107548986,
0.325,,-0.0006540691787116563,
0.325,,-0.0006614759963515822,
0.326,,-0.0006689779312289053,
0.326,,-0.0006765772759507747,
0.326,,-0.0006842763818884507,
0.326,,-0.0006919958182139815,
0.33,,-0.0006997300730144688,
0.33,,-0.0007074677016316527,
0.33,,-0.0007152726388942903,
0.331,,-0.0007230959492672421,
0.331,,-0.0007309552229587503,
0.331,,,1
0.331,,-0.0007388523726974126,
0.337,,-0.0007467894394726581,
0.338,,-0.0007547685884502354,
0.338,,-0.0007627920757429127,
0.34,,-0.000770862225252969,
0.34,,-0.0007789814126554429,
0.341,,-0.0007871520544269087,
0.345,,-0.0007953766004264992,
0.345,,-0.0008036575289827513,
0.345,,-0.0008119973437341275,
0.345,,-0.0008203985716964227,
0.346,0.0,,
0.346,,,1
0.346,,,1
0.346,,,1
0.346,,,1
0.346,,,1
0.346,,,1
0.346,,,1
0.346,,,1
0.354,,-0.000828863762185328,
0.354,,-0.0008373951986981112,
0.354,,-0.0008459957618381507,
0.354,,-0.0008546680665348328,
0.354,,-0.0008634147500829147,
0.354,,-0.0008722384726853486,
0.354,,-0.0008811419180888418,
0.354,,-0.0008900453634923498,
0.354,,-0.0008991341266332824,
0.354,,-0.0009083063659958892,
0.354,,-0.000917566113630185,
0.354,,-0.0009269168583543059,
0.362,,-0.0009363619964759296,
0.362,,-0.0009459048472688868,
0.362,,-0.0009555486694438114,
0.362,,-0.0009652966769969806,
0.365,,-0.0009751520536571939,
0.365,,-0.0009851179656092752,
0.365,,-0.0009951975724426343,
0.368,,-0.0010053940364227875,
0.368,,-0.0010157105302578825,
0.368,,-0.0010261502435605053,
0.369,,-0.0010367163882064514,
0.369,,-0.0010474122027788607,
0.369,,-0.0010582409562657725,
0.369,,-0.0010692059511563485,
0.372,,-0.0010803105260584643,
0.372,,,1
0.377,,-0.0010915580579394808,
0.377,,-0.0011029519640734997,
0.377,,-0.001114495703762465,
0.377,,-0.0011261927798850335,
0.378,,-0.001137889856007667,
0.378,,-0.0011499722769352865,
0.38,,-0.0011622006045305792,
0.38,,-0.001174583403519131,
0.382,,-0.001187127811209096,
0.383,,-0.001199840182654718,
0.383,0.0,,
0.384,,-0.0012127262901734568,
0.385,,-0.0012257949454496995,
0.385,,-0.00123904771126355,
0.385,,-0.0012524893981763644,
0.385,,-0.001266124665434409,
0.385,,-0.0012799580739200724,
0.385,,-0.0012939941266020846,
0.385,,-0.0013082372994311278,
0.385,,-0.0013226920649511995,
0.392,,-0.001337362910371595,
0.393,,-0.0013522543514372992,
0.393,,-0.0013673709431210692,
0.393,,-0.0013827172879182317,
0.393,,-0.0013982980423389304,
0.397,,-0.0014141179220496939,
0.397,,-0.0014301817060069244,
0.397,,-0.001446245489964282,
0.397,,-0.0014629420852656633,
0.404,,-0.0014798621428286911,
0.404,,-0.0014970200353995715,
0.404,,-0.0015144276350878823,
0.404,,-0.001532095191488572,
0.409,,-0.0015500317531372146,
0.409,,-0.0015682454871902164,
0.409,,-0.0015867439215138778,
0.409,,-0.0016055341277782314,
0.409,,-0.0016246228597784536,
0.409,,-0.001644016657836906,
0.409,,-0.001663721927551053,
0.409,,-0.001683744999170611,
0.409,,-0.0017040921723728729,
0.409,,-0.0017247697500501287,
0.409,,-0.0017457840638437443,
0.409,,-0.0017671414934909103,
0.409,,-0.0017888484815425994,
0.409,,-0.00181055546959449,
0.419,,,1
0.42,,-0.0018329402286757473,
0.421,,-0.0018554132281751944,
0.422,,-0.0018780383664440477,
0.423,,-0.0019008066602496118,
0.424,,-0.0019237274647343513,
0.425,,-0.0019468096380428365,
0.425,0.0,,
0.429,,-0.001970061647198521,
0.429,,-0.0020048537548549646,
0.429,,-0.002043110380544371,
0.429,,-0.002081553120901521,
0.429,,-0.0021201849595019334,
0.429,,-0.0021590087734708768,
0.429,,-0.002198027378698889,
0.439,,-0.0022372435630859,
0.439,,-0.002276660111168441,
0.439,,-0.0023162798223817413,
0.439,,-0.002356105524627876,
0.439,,-0.0023961400843894943,
0.439,,-0.002436386414307406,
0.439,,-0.002476898893165544,
0.44,,-0.002517390394459488,
0.441,,-0.002558595786817982,
0.441,,-0.0025996560962100496,
0.441,,-0.002641146830891946,
0.441,,-0.002682596014582477,
0.445,,-0.002724660231721855,
0.445,,-0.0027666199176002468,
0.445,,-0.0028090958470328355,
0.445,,-0.002851524268951782,
0.449,,-0.002894535522268829,
0.452,,-0.0029374711450723522,
0.452,,-0.002980966499949988,
0.452,,-0.0030244189008710298,
0.452,,-0.0030684519646157725,
0.452,,-0.003112432606595927,
0.452,,-0.0031569988949018387,
0.469,,-0.0032015330956163906,
0.469,,-0.003246038860378154,
0.474,,,1
0.474,,-0.003290608985221098,
0.474,,-0.003335165903082428,
0.474,,-0.0033797988930413282,
0.474,,-0.0034244254238845534,
0.474,,-0.0034691324517560217,
0.474,,-0.0035138418403382193,
0.474,,-0.003558644511043194,
0.474,,-0.0036034587585485256,
0.474,,-0.003648371045954405,
0.474,,-0.003693302878855826,
0.474,,-0.003738344919935751,
0.474,,-0.0037834160478411798,
0.474,,-0.003828603267499569,
0.474,,-0.0038738278708603372,
0.474,,-0.003919179855403014,
0.474,,-0.003964578636394127,
0.474,,-0.004010111862803,
0.474,,-0.004055700697973827,
0.476,,-0.0041014345837724255,
0.477,,-0.004147233434483947,
0.478,,-0.004193185388765044,
